state,plate_title,plate_img,source_img,source
CA,Amateur Radio Call Letters - Block,AmRadioblock.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/AmRadioblock.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,Amateur Radio Call Letters - Blue + Gold,AmRadioblugld.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/AmRadioblugld.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,Amateur Radio Call Letters - Script,AmRadioscript.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/AmRadioscript.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,Amateur Radio Call Letters - Sun,AmRadiosun.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/AmRadiosun.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,Apportioned Power Unit - Blue + Red,apporpwrunitbluredltrs.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/apporpwrunitbluredltrs.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,Apportioned Power Unit - Single,apporpwrunitsingleplt.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/apporpwrunitsingleplt.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,Apportioned Power Unit - Script,APPORTIONED.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/APPORTIONED.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,ARTS,artsT_150.jpg,https://www.dmv.ca.gov/imageserver/dmv/images/elp/artsT_150.jpg,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-interest-license-plates/
CA,Bicentennial Bill of Rights,billofrights.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/billofrights.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,Apportioned Power Unit - Block,blue-block.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/blue-block.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,Apportioned Power Unit - Blue + Gold,blue-gold-apportioned.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/blue-gold-apportioned.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,UCLA,bruinsT_150.jpg,https://www.dmv.ca.gov/portal/uploads/2020/05/bruinsT_150.jpg,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-interest-license-plates/
CA,CALAG,calag.jpg,https://www.dmv.ca.gov/portal/wp-content/uploads/2020/02/calag.jpg,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-interest-license-plates/
CA,CALAG - Motorcycle,calagmc.jpg,https://www.dmv.ca.gov/portal/wp-content/uploads/2020/02/calagmc.jpg,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-interest-license-plates/
CA,Citizens Band - Blue + Gold,CBblkgld.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/CBblkgld.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,Citizens Band - Block,CBblockplt.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/CBblockplt.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,Citizens Band - Script,CBscript.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/CBscript.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,Citizens Band - Sun,CBsun.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/CBsun.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,Congressional Medal of Honor,CMOHsun.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/CMOHsun.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,Commercial Motor Vehicles - Script,comm-1.gif,https://www.dmv.ca.gov/portal/uploads/2020/02/comm-1.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/standard-license-plates/
CA,Commercial Motor Vehicles - Block,comm-2.gif,https://www.dmv.ca.gov/portal/uploads/2020/02/comm-2.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/standard-license-plates/
CA,Commercial Motor Vehicles - Sun,comm-3.gif,https://www.dmv.ca.gov/portal/uploads/2020/02/comm-3.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/standard-license-plates/
CA,Commercial Motor Vehicles - Blue + Gold,comm-4.gif,https://www.dmv.ca.gov/portal/uploads/2020/02/comm-4.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/standard-license-plates/
CA,Commercial Motor Vehicles - Black + Gold,comm-5.gif,https://www.dmv.ca.gov/portal/uploads/2020/02/comm-5.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/standard-license-plates/
CA,Dismantlers - Block,DismBlock.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/DismBlock.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,Dismantlers - Blue + Gold,dismblugld.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/dismblugld.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
